zone;ville;departement;population;deja_scannee_radar
lorraine-rurale;Metz;57;122572;oui
lorraine-rurale;Nancy;54;103671;oui
lorraine-rurale;Thionville;57;42658;oui
lorraine-rurale;Épinal;88;32251;oui
lorraine-rurale;Vandœuvre-lès-Nancy;54;29942;non
lorraine-rurale;Montigny-lès-Metz;57;21718;non
lorraine-rurale;Forbach;57;20493;oui
lorraine-rurale;Sarreguemines;57;20143;oui
lorraine-rurale;Saint-Dié-des-Vosges;88;19251;oui
lorraine-rurale;Lunéville;54;18262;oui
lorraine-rurale;Yutz;57;17391;non
lorraine-rurale;Verdun;55;16890;oui
lorraine-rurale;Hayange;57;15806;non
lorraine-rurale;Toul;54;15768;oui
lorraine-rurale;Longwy;54;15679;non
lorraine-rurale;Woippy;57;14967;non
lorraine-rurale;Fameck;57;14788;non
lorraine-rurale;Laxou;54;14771;non
lorraine-rurale;Saint-Avold;57;14755;non
lorraine-rurale;Villers-lès-Nancy;54;14718;non
lorraine-rurale;Bar-le-Duc;55;14607;oui
lorraine-rurale;Pont-à-Mousson;54;14190;oui
lorraine-rurale;Freyming-Merlebach;57;13266;non
lorraine-rurale;Creutzwald;57;12254;non
lorraine-rurale;Sarrebourg;57;12170;oui
lorraine-rurale;Florange;57;12035;non
lorraine-rurale;Maizières-lès-Metz;57;11580;non
lorraine-rurale;Stiring-Wendel;57;10956;non
lorraine-rurale;Amnéville;57;10875;non
lorraine-rurale;Marly;57;10286;non
lorraine-rurale;Villerupt;54;10102;non
lorraine-rurale;Maxéville;54;10090;non
lorraine-rurale;Saint-Max;54;9913;non
lorraine-rurale;Dombasle-sur-Meurthe;54;9424;non
lorraine-rurale;Rombas;57;9371;non
lorraine-rurale;Mont-Saint-Martin;54;9361;non
lorraine-rurale;Jarville-la-Malgrange;54;9356;non
lorraine-rurale;Hagondange;57;9278;non
lorraine-rurale;Tomblaine;54;9117;non
lorraine-rurale;Golbey;88;8832;non
lorraine-rurale;Essey-lès-Nancy;54;8670;non
lorraine-rurale;Thaon-les-Vosges;88;8547;non
lorraine-rurale;Val de Briey;54;8130;non
lorraine-rurale;Talange;57;8120;non
lorraine-rurale;Guénange;57;8083;non
lorraine-rurale;Jarny;54;8050;non
lorraine-rurale;Malzéville;54;7820;non
lorraine-rurale;Terville;57;7801;non
lorraine-rurale;Hettange-Grande;57;7772;non
lorraine-rurale;Gérardmer;88;7581;non
lorraine-rurale;Remiremont;88;7388;non
lorraine-rurale;Saint-Nicolas-de-Port;54;7359;non
lorraine-rurale;Audun-le-Tiche;57;7356;non
lorraine-rurale;Moyeuvre-Grande;57;7311;non
lorraine-rurale;Uckange;57;7021;non
lorraine-rurale;Neufchâteau;88;6732;non
lorraine-rurale;Laneuveville-devant-Nancy;54;6630;non
lorraine-rurale;Champigneulles;54;6551;non
lorraine-rurale;Marange-Silvange;57;6539;non
lorraine-rurale;Neuves-Maisons;54;6524;non
lorraine-rurale;Frouard;54;6444;non
lorraine-rurale;Jœuf;54;6392;non
lorraine-rurale;Homécourt;54;6254;non
lorraine-rurale;Petite-Rosselle;57;6171;non
lorraine-rurale;Behren-lès-Forbach;57;6166;non
lorraine-rurale;Hombourg-Haut;57;5976;non
lorraine-rurale;Raon-l'Étape;88;5886;non
lorraine-rurale;Ludres;54;5843;non
lorraine-rurale;Algrange;57;5802;non
lorraine-rurale;Mondelange;57;5699;non
lorraine-rurale;Liverdun;54;5580;non
lorraine-rurale;Boulay-Moselle;57;5434;non
lorraine-rurale;Heillecourt;54;5414;non
lorraine-rurale;Commercy;55;5350;oui
lorraine-rurale;Moulins-lès-Metz;57;5265;non
lorraine-rurale;Farébersviller;57;5224;non
lorraine-rurale;L'Hôpital;57;5183;non
lorraine-rurale;Seichamps;54;5165;non
lorraine-rurale;Longuyon;54;5134;non
lorraine-rurale;Faulquemont;57;5109;non
lorraine-rurale;Pulnoy;54;5099;non
lorraine-rurale;Rambervillers;88;5018;non
champagne-rurale;Reims;51;177674;non
champagne-rurale;Troyes;10;62088;oui
champagne-rurale;Charleville-Mézières;08;45560;oui
champagne-rurale;Châlons-en-Champagne;51;42971;non
champagne-rurale;Saint-Dizier;52;22858;oui
champagne-rurale;Épernay;51;22174;non
champagne-rurale;Chaumont;52;20827;oui
champagne-rurale;Sedan;08;16667;oui
champagne-rurale;Romilly-sur-Seine;10;14959;oui
champagne-rurale;Saint-André-les-Vergers;10;12806;non
champagne-rurale;La Chapelle-Saint-Luc;10;12648;non
champagne-rurale;Vitry-le-François;51;10996;oui
champagne-rurale;Tinqueux;51;10771;non
champagne-rurale;Sainte-Savine;10;10289;non
champagne-rurale;Rethel;08;7444;oui
champagne-rurale;Langres;52;7421;oui
champagne-rurale;Bétheny;51;6975;non
champagne-rurale;Saint-Julien-les-Villas;10;6760;non
champagne-rurale;Cormontreuil;51;6534;non
champagne-rurale;Givet;08;6364;non
champagne-rurale;Fismes;51;5850;non
champagne-rurale;Revin;08;5716;non
champagne-rurale;Nogent-sur-Seine;10;5537;oui
champagne-rurale;Nouzonville;08;5523;non
champagne-rurale;Saint-Memmie;51;5441;non
champagne-rurale;Pont-Sainte-Marie;10;5249;non
champagne-rurale;Aÿ-Champagne;51;5103;non
champagne-rurale;Bezannes;51;5039;non
bourgogne;Dijon;21;161830;oui
bourgogne;Chalon-sur-Saône;71;45102;oui
bourgogne;Mâcon;71;35177;oui
bourgogne;Auxerre;89;35097;oui
bourgogne;Nevers;58;33085;oui
bourgogne;Sens;89;27106;oui
bourgogne;Le Creusot;71;20509;oui
bourgogne;Beaune;21;20352;oui
bourgogne;Montceau-les-Mines;71;17064;oui
bourgogne;Chenôve;21;14244;non
bourgogne;Autun;71;13172;oui
bourgogne;Talant;21;11896;non
bourgogne;Chevigny-Saint-Sauveur;21;11108;non
bourgogne;Cosne-Cours-sur-Loire;58;9733;non
bourgogne;Paray-le-Monial;71;9291;non
bourgogne;Fontaine-lès-Dijon;21;9252;non
bourgogne;Varennes-Vauzelles;58;9146;non
bourgogne;Joigny;89;9016;oui
bourgogne;Quetigny;21;8971;non
bourgogne;Longvic;21;8896;non
bourgogne;Saint-Vallier;71;8508;non
bourgogne;Charnay-lès-Mâcon;71;8227;non
bourgogne;Auxonne;21;7581;non
bourgogne;Saint-Apollinaire;21;7544;non
bourgogne;Digoin;71;7353;non
bourgogne;Migennes;89;6688;non
bourgogne;Gueugnon;71;6528;non
bourgogne;Louhans-Châteaurenaud;71;6446;non
bourgogne;Saint-Rémy;71;6410;non
bourgogne;Avallon;89;6305;oui
bourgogne;Châtenoy-le-Royal;71;6267;non
bourgogne;Saint-Marcel;71;6211;non
bourgogne;Blanzy;71;5955;non
bourgogne;Tournus;71;5701;non
bourgogne;Châtillon-sur-Seine;21;5443;non
bourgogne;Marsannay-la-Côte;21;5433;non
bourgogne;Chagny;71;5350;non
bourgogne;Nuits-Saint-Georges;21;5235;non
bourgogne;Villeneuve-sur-Yonne;89;5135;non
bourgogne;Genlis;21;5093;non
centre;Tours;37;139259;oui
centre;Orléans;45;116357;oui
centre;Bourges;18;64186;oui
centre;Blois;41;47219;oui
centre;Châteauroux;36;42963;oui
centre;Joué-lès-Tours;37;38423;non
centre;Chartres;28;38324;oui
centre;Dreux;28;31543;oui
centre;Vierzon;18;25068;oui
centre;Olivet;45;23507;non
centre;Saint-Jean-de-Braye;45;23147;non
centre;Fleury-les-Aubrais;45;21804;non
centre;Romorantin-Lanthenay;41;18373;oui
centre;Saran;45;17316;non
centre;Saint-Cyr-sur-Loire;37;17029;non
centre;Saint-Jean-de-la-Ruelle;45;16768;non
centre;Lucé;28;15921;non
centre;Saint-Pierre-des-Corps;37;15898;non
centre;Vendôme;41;15758;oui
centre;Saint-Avertin;37;14999;non
centre;Montargis;45;14825;oui
centre;Amilly;45;13582;non
centre;Gien;45;13459;non
centre;Amboise;37;12937;oui
centre;Châteaudun;28;12830;non
centre;Chambray-lès-Tours;37;12720;non
centre;Châlette-sur-Loing;45;12677;non
centre;Vernouillet;28;12310;non
centre;Montlouis-sur-Loire;37;11335;non
centre;Issoudun;36;11159;non
centre;La Chapelle-Saint-Mesmin;45;11017;non
centre;Fondettes;37;10954;non
centre;Mainvilliers;28;10629;non
centre;La Riche;37;10487;non
centre;Ingré;45;10062;non
centre;Saint-Amand-Montrond;18;9899;non
centre;Saint-Doulchard;18;9647;non
centre;Saint-Jean-le-Blanc;45;9562;non
centre;Nogent-le-Rotrou;28;9292;non
centre;Chécy;45;9083;non
