name,metier,phone,ville,departement,region,region_label,rating,reviews,hours_status,is_open_now,address,maps_url,siret,created_at,age_years,legal_status,naf_code
ART ELEC,electricien,02 54 08 02 49,Chateauroux,Indre,centre,Centre-Val de Loire,"3,4",77,Ouvre à 09:00 ven.,non,,https://www.google.com/maps/place/ART+ELEC/data=!4m7!3m6!1s0x47fba7479819f68f:0xd7468e2111d14967!8m2!3d46.7941043!4d1.7146508!16s%2Fg%2F11hbnxfjg3!19sChIJj_YZmEen-0cRZ0nRESGORtc?authuser=0&hl=fr&rclk=1,49360171000038,2007-01-01,19,actif,43.21A
S.L.E.E (Société Luantaise Equipements Electriques),electricien,02 54 36 76 06,Chateauroux,Indre,centre,Centre-Val de Loire,"4,7",37,,non,21 Rue Robert Mallet-Stevens,https://www.google.com/maps/place/S.L.E.E+%28Soci%C3%A9t%C3%A9+Luantaise+Equipements+Electriques%29/data=!4m7!3m6!1s0x47fba735df29701f:0x2219857caf1bc023!8m2!3d46.7908892!4d1.7090238!16s%2Fg%2F11cn9kg255!19sChIJH3Ap3zWn-0cRI8Abr3yFGSI?authuser=0&hl=fr&rclk=1,38514567700030,1992-01-01,34,actif,43.21A
GAPTEAU Franck Electricité,electricien,06 62 08 47 07,Bourges,Cher,centre,Centre-Val de Loire,"4,7",27,Ouvre à 08:00 ven.,non,58 Rue Georges Politzer,https://www.google.com/maps/place/GAPTEAU+Franck+Electricit%C3%A9/data=!4m7!3m6!1s0x47fadbf4f31920c7:0xde5f6aedb8113c31!8m2!3d47.2033067!4d2.0805793!16s%2Fg%2F1hc4fcp08!19sChIJxyAZ8_Tb-kcRMTwRuO1qX94?authuser=0&hl=fr&rclk=1,52914862900023,2011-01-10,15,actif,43.21A
Limouzin Jean-Paul,electricien,02 48 50 31 08,Bourges,Cher,centre,Centre-Val de Loire,"4,6",27,Ouvre à 08:00 ven.,non,Limouzin Jean-Paul,https://www.google.com/maps/place/Limouzin+Jean-Paul/data=!4m7!3m6!1s0x47fa95c642da7167:0x27c963e0aeb498ab!8m2!3d47.0842895!4d2.3764442!16s%2Fg%2F1tngpn6_!19sChIJZ3HaQsaV-kcRq5i0ruBjySc?authuser=0&hl=fr&rclk=1,40204643700032,1995-08-25,30,actif,43.21A
Marais Christophe,electricien,07 60 36 09 71,Bourges,Cher,centre,Centre-Val de Loire,"4,6",26,Ouvre à 08:00 ven.,non,3 Rue des Grands Jardins,https://www.google.com/maps/place/Marais+Christophe/data=!4m7!3m6!1s0x47e54c0c621b2b93:0x48e983996f2628c4!8m2!3d47.4889633!4d2.4424961!16s%2Fg%2F11b6dygsv4!19sChIJkysbYgxM5UcRxCgmb5mD6Ug?authuser=0&hl=fr&rclk=1,43457256600025,2001-01-20,25,radie,68.20B
REGB - Bâtiment,electricien,02 48 55 28 92,Bourges,Cher,centre,Centre-Val de Loire,"3,9",21,Ouvre à 08:00 ven.,non,,https://www.google.com/maps/place/REGB+-+B%C3%A2timent/data=!4m7!3m6!1s0x47fa95e2419a8271:0xc1bfebe7c6ac97aa!8m2!3d47.0927998!4d2.3841548!16s%2Fg%2F1v1kp6sj!19sChIJcYKaQeKV-kcRqpesxufrv8E?authuser=0&hl=fr&rclk=1,44172815100065,2002-04-01,24,actif,43.32A
Avenir électrique du Berry,electricien,06 36 93 97 09,Vierzon,Cher,centre,Centre-Val de Loire,"4,9",17,Ouvre à 08:00 ven.,non,,https://www.google.com/maps/place/Avenir+%C3%A9lectrique+du+Berry/data=!4m7!3m6!1s0x47fad922624ab907:0x3c4ecd2e628b6baa!8m2!3d47.2149965!4d2.0303085!16s%2Fg%2F11bwyq0gqv!19sChIJB7lKYiLZ-kcRqmuLYi7NTjw?authuser=0&hl=fr&rclk=1,81155435100015,2015-06-01,10,actif,43.21A
Clem'elec,electricien,06 32 10 70 94,Chateauroux,Indre,centre,Centre-Val de Loire,"5,0",13,Ouvre à 07:30 ven.,non,,https://www.google.com/maps/place/Clem%27elec/data=!4m7!3m6!1s0x47fba09af974bbab:0xcb8a7246158717bf!8m2!3d46.8053701!4d1.6744477!16s%2Fg%2F11f4ln95gm!19sChIJq7t0-Zqg-0cRvxeHFUZyiss?authuser=0&hl=fr&rclk=1,83528329200018,2018-02-12,8,actif,43.21A
Csi36 électricité,electricien,06 28 60 40 32,Chateauroux,Indre,centre,Centre-Val de Loire,"5,0",9,Ouvre à 08:00 ven.,non,,https://www.google.com/maps/place/Csi36+%C3%A9lectricit%C3%A9/data=!4m7!3m6!1s0x479b1452bc39d17:0xc4c2481a2d55e98e!8m2!3d46.7731281!4d1.6525529!16s%2Fg%2F11yv5ygv75!19sChIJF53DK0WxeQQRjulVLRpIwsQ?authuser=0&hl=fr&rclk=1,,,,inconnu,
Ohm elec,electricien,07 48 12 96 51,Chateauroux,Indre,centre,Centre-Val de Loire,"5,0",8,,non,,https://www.google.com/maps/place/Ohm+elec/data=!4m7!3m6!1s0x47fba146a7cb3dab:0x7b2a81ce0fadd6af!8m2!3d46.858589!4d1.8202704!16s%2Fg%2F11fq3dqxr8!19sChIJqz3Lp0ah-0cRr9atD86BKns?authuser=0&hl=fr&rclk=1,43770207900025,2001-05-03,25,actif,43.21A
