name,metier,phone,ville,departement,region,region_label,rating,reviews,hours_status,is_open_now,address,maps_url,siret,created_at,age_years,legal_status,naf_code
Tivolec,electricien,06 82 80 23 59,Cahors,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"4,9",11,Ferme bientôt · 12:30 · Rouvre à 13:30,non,"Arnis, 1075 Route d'Arnis, 46000 Cahors","https://www.google.com/maps/place/Tivolec/@44.7397279,-0.4780533,8z/data=!4m10!1m2!2m1!1selectricien+Lot!3m6!1s0x12ac8a168e4b923f:0x91fcdfc19902bd8b!8m2!3d44.406441!4d1.456676!15sCg9lbGVjdHJpY2llbiBMb3RaESIPZWxlY3RyaWNpZW4gbG90kgELZWxlY3RyaWNpYW6aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXhOM0JJTVRKQlJSQULgAQD6AQQIABAn!16s%2Fg%2F11b6dq3ys1?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",51747636200028,2009-10-01,16,actif,43.21A
Eurl Carmona Elec,electricien,06 06 74 71 68,Cahors,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"4,3",6,Ouvert · Ferme à 18:00,oui,"Rte de Saint-Cirice, 46000 Cahors","https://www.google.com/maps/place/Eurl+Carmona+Elec/@44.7397279,-0.4780533,8z/data=!4m10!1m2!2m1!1selectricien+Lot!3m6!1s0x12ac8bac5e3ae911:0xef89f29c9af88b1c!8m2!3d44.4258847!4d1.478182!15sCg9lbGVjdHJpY2llbiBMb3RaESIPZWxlY3RyaWNpZW4gbG90kgELZWxlY3RyaWNpYW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVUkJhSFIxWWtKbkVBReABAPoBBAgAEA4!16s%2Fg%2F11b6dpcnq5?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",75068122300012,2012-04-01,14,actif,43.21A
46 ELEC Cessac Christophe,electricien,06 72 62 53 87,Gourdon,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",17,Ouvert · Ferme à 19:00,oui,"30 Rue du Corps Franc Pommies, 46300 Gourdon","https://www.google.com/maps/place/46+ELEC+Cessac+Christophe/@44.7397279,-0.4780533,8z/data=!4m10!1m2!2m1!1selectricien+Lot!3m6!1s0x12ab6162decce071:0xcd1a3b280ae8541c!8m2!3d44.7371307!4d1.3839137!15sCg9lbGVjdHJpY2llbiBMb3RaESIPZWxlY3RyaWNpZW4gbG90kgELZWxlY3RyaWNpYW6aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnM1UlZnd2NFSlJiWGhIWTBWNFdVMXVXWGhXUlZKcFlsY3hlR0ZJWXhBQuABAPoBBAgvEEM!16s%2Fg%2F11tjhg37p8?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",40121180000016,1995-06-20,30,actif,56.10A
Barrière Philippe,electricien,06 80 87 41 73,Gramat,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",1,,non,"Rue de la Croix David, 46500 Gramat","https://www.google.com/maps/place/Barri%C3%A8re+Philippe/@44.7397279,-0.4780533,8z/data=!4m10!1m2!2m1!1selectricien+Lot!3m6!1s0x12acdba1c818b20d:0xf9910cc4291e7372!8m2!3d44.7848397!4d1.718929!15sCg9lbGVjdHJpY2llbiBMb3SSAQtlbGVjdHJpY2lhbuABAA!16s%2Fg%2F11b6d6lb0q?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",38833170400048,1992-05-11,34,actif,68.20B
Lafon Jean-Jacques,electricien,05 65 30 89 88,Prayssac,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"3,4",5,Ferme bientôt · 12:00 · Rouvre à 14:00,non,46220 Prayssac,"https://www.google.com/maps/place/Lafon+Jean-Jacques/@44.7397279,-0.4780533,8z/data=!4m10!1m2!2m1!1selectricien+Lot!3m6!1s0x12ab7d46995c8289:0x3bb29e4d54de843f!8m2!3d44.5312539!4d1.197359!15sCg9lbGVjdHJpY2llbiBMb3RaESIPZWxlY3RyaWNpZW4gbG90kgELZWxlY3RyaWNpYW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnNPR0ZIVUUxM0VBReABAPoBBAgAECA!16s%2Fg%2F11b6dgctl8?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",89400814300014,2021-02-08,5,actif,70.22Z
Quercy Élec 46,electricien,06 27 37 46 39,Saint-Projet,Lot,occitanie-rurale,Lot / Aveyron / Lozère,,,Ouvert · Ferme à 20:00,oui,46300 Saint-Projet,"https://www.google.com/maps/place/Quercy+%C3%89lec+46/@44.7397279,-0.4780533,8z/data=!4m10!1m2!2m1!1selectricien+Lot!3m6!1s0x12acbf47757c9daf:0xffbb553fb80a6fa8!8m2!3d44.754057!4d1.502591!15sCg9lbGVjdHJpY2llbiBMb3SSAQtlbGVjdHJpY2lhbuABAA!16s%2Fg%2F1pt_sw416?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",80115970800016,2014-04-01,12,C,43.21A
Pinto Lopes Victor,electricien,05 65 37 02 35,Ginouillac,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",2,,non,"Merlies, 46300 Ginouillac","https://www.google.com/maps/place/Pinto+Lopes+Victor/@44.7397279,-0.4780533,8z/data=!4m10!1m2!2m1!1selectricien+Lot!3m6!1s0x12acbf821d76aafb:0x5e685f1818786735!8m2!3d44.7274!4d1.515965!15sCg9lbGVjdHJpY2llbiBMb3SSAQtlbGVjdHJpY2lhbuABAA!16s%2Fg%2F1tdjmd4d?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",39852026200021,1994-10-01,31,C,43.21A
IMD Sud Ouest,electricien,07 82 14 81 28,Clairac,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",2,Ouvert · Ferme à 18:00,oui,"8 Rue du Couloume, 47320 Clairac","https://www.google.com/maps/place/IMD+Sud+Ouest/@44.355181,-1.9369599,8z/data=!4m10!1m2!2m1!1selectricien+Lot!3m6!1s0x238497ff98d1c297:0x1e985dd9705436f0!8m2!3d44.355181!4d0.370169!15sCg9lbGVjdHJpY2llbiBMb3RaESIPZWxlY3RyaWNpZW4gbG90kgELZWxlY3RyaWNpYW6aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhHVVZGVVRUTlZhMlJMVmxkT1ZWWlZhSFZqUmxwclYxWnNlVk51WXhBQuABAPoBBQjRARBF!16s%2Fg%2F11xcv0lqp5?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",98497558100013,2024-02-24,2,actif,33.20D
Electricité Verdié,electricien,05 65 35 35 84,Cahors,Lot,occitanie-rurale,Lot / Aveyron / Lozère,,,,non,"174 Rue du Pot Trinquat, 46000 Cahors","https://www.google.com/maps/place/Electricit%C3%A9+Verdi%C3%A9/@44.4418367,0.2838899,9z/data=!4m10!1m2!2m1!1selectricien+Cahors!3m6!1s0x12ac896418f73373:0xbc83368372673063!8m2!3d44.4418367!4d1.4374544!15sChJlbGVjdHJpY2llbiBDYWhvcnOSAQtlbGVjdHJpY2lhbuABAA!16s%2Fg%2F1td3tjtm?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",,,,inconnu,
Luminaires Marty Baudin,electricien,05 65 35 27 64,Cahors,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"3,2",6,Ferme bientôt · 12:15 · Rouvre à 14:15,non,"24 Rue du Maréchal Joffre, 46000 Cahors","https://www.google.com/maps/place/Luminaires+Marty+Baudin/@44.4418367,0.2838899,9z/data=!4m10!1m2!2m1!1selectricien+Cahors!3m6!1s0x12ac895fb11377f9:0x14547c81e1c229f2!8m2!3d44.4466206!4d1.4413162!15sChJlbGVjdHJpY2llbiBDYWhvcnOSAQ5saWdodGluZ19zdG9yZeABAA!16s%2Fg%2F1tdbsy6v?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",84360791200014,2018-11-05,7,actif,47.29Z
